key_mlbam,key_bbref,key_bbref_minors,key_fangraphs,name_last,name_first,name_given,name_suffix,name_matrilineal,birth_year,birth_month,birth_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last
116326,huntebr02,hunter002bri,562,Hunter,Brian,Brian Lee,,,1971,3,5,1989,2005,1994,2003
116338,hunteto01,hunter001tor,731,Hunter,Torii,Torii Kedar,,,1975,7,18,1993,2015,1997,2015
442369,,hust--001gar,NA,Hust,Gary,Gary Arthur,,,1972,3,15,1990,1996,NA,NA
440821,,hutchi001nor,NA,Hutchins,Norm,Norman Elliott,,,1975,11,20,1994,2012,NA,NA
150454,hutchch01,hutchi002cha,1006236,Hutchinson,Chad,Chad Martin,,,1977,2,21,1998,2001,2001,2001
116377,hyersti01,hyers-001tim,1006249,Hyers,Tim,Timothy James,,,1971,10,3,1990,1999,1994,1999
283210,hyzduad01,hyzdu-001ada,1543,Hyzdu,Adam,Adam Davis,,,1971,12,6,1990,2007,2000,2006
116383,ignasmi01,ignasi001mic,1006254,Ignasiak,Mike,Michael James,,,1966,3,12,1988,1995,1991,1995
116384,ilslebl01,ilsley001bla,1006255,Ilsley,Blaise,Blaise Francis,,,1964,4,9,1985,2000,1994,1994
116386,incavpe01,incavi001pet,1006257,Incaviglia,Pete,Peter Joseph,,,1964,4,2,1986,2002,1986,1998
442685,,irelan001eri,NA,Ireland,Eric,Eric Wayne,,,1977,3,11,1996,2003,NA,NA
436814,,irelan001ric,NA,Ireland,Rich,Richard L.,,,1974,11,11,1992,1993,NA,NA
116446,jacksbo01,jackso002vin,1006290,Jackson,Bo,Vincent Edward,,,1962,11,30,1986,1994,1986,1994
116426,jacksda03,jackso002dar,1006296,Jackson,Darrin,Darrin Jay,,,1963,8,22,1981,1999,1985,1999
437926,,jackso001jef,NA,Jackson,Jeff,Jeffrey,,,1972,1,2,1989,1998,NA,NA
116476,jamesdi01,james-001dio,1006349,James,Dion,Dion,,,1962,11,9,1980,1996,1983,1996
425770,,james-002ken,NA,James,Kenny,Kennouth LuCurtis,,,1976,10,9,1995,2003,NA,NA
443630,,janick001pet,NA,Janicki,Pete,Peter Anthony,,,1971,1,26,1993,1998,NA,NA
